filename,iou,group_syntax_success_rate,coordinate_mae,mae_s,mae_q,mae_f,inference_time,first_token_latency
test256.gcode,0.9998270300586019,1.0,9.455658269361534e-06,0.0,0.0,0.0,12.014521,0.0
test257.gcode,0.9998034856628426,1.0,9.180864742211179e-06,0.0,0.0,0.0,12.014521,0.0
test258.gcode,0.9998149244709156,1.0,9.631372462149967e-06,0.0,0.0,0.0,12.014521,0.0
test259.gcode,0.9998364503290267,1.0,7.441516438047404e-06,0.0,0.0,0.0,12.014521,0.0
test26.gcode,0.9999999999999617,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test260.gcode,0.999819635841865,1.0,8.802822570584251e-06,0.0,0.0,0.0,12.014521,0.0
test261.gcode,0.9998034580179863,1.0,8.15402130722757e-06,0.0,0.0,0.0,12.014521,0.0
test262.gcode,0.9997996909167095,1.0,1.0080827708347429e-05,0.0,0.0,0.0,12.014521,0.0
test263.gcode,0.9998149174083109,1.0,9.273216953174392e-06,0.0,0.0,0.0,12.014521,0.0
test264.gcode,0.9998315839139567,1.0,8.624074460271886e-06,0.0,0.0,0.0,12.014521,0.0
test265.gcode,0.9998162336588954,1.0,8.094534921794257e-06,0.0,0.0,0.0,12.014521,0.0
test266.gcode,0.9997993936865939,1.0,8.664514731978697e-06,0.0,0.0,0.0,12.014521,0.0
test267.gcode,0.9998035428232388,1.0,9.293028986037199e-06,0.0,0.0,0.0,12.014521,0.0
test268.gcode,0.9998039491777118,1.0,1.0848684274107378e-05,0.0,0.0,0.0,12.014521,0.0
test269.gcode,0.9997902436666235,1.0,8.950268991703832e-06,0.0,0.0,0.0,12.014521,0.0
test27.gcode,0.9999999999992957,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test270.gcode,0.9998110246444125,1.0,1.0311543368159549e-05,0.0,0.0,0.0,12.014521,0.0
test271.gcode,0.9998240145975493,1.0,8.484924756977852e-06,0.0,0.0,0.0,12.014521,0.0
test272.gcode,0.9998127735166991,1.0,8.318610471177777e-06,0.0,0.0,0.0,12.014521,0.0
test273.gcode,0.9998076378474446,1.0,8.494794307756816e-06,0.0,0.0,0.0,12.014521,0.0
test274.gcode,0.9998069253138345,1.0,1.156592135135716e-05,0.0,0.0,0.0,12.014521,0.0
test275.gcode,0.9997970199389757,1.0,8.57987897655373e-06,0.0,0.0,0.0,12.014521,0.0
test276.gcode,0.9998241188356125,1.0,8.486389163019323e-06,0.0,0.0,0.0,12.014521,0.0
test277.gcode,0.9998277991853457,1.0,9.257899393029897e-06,0.0,0.0,0.0,12.014521,0.0
test278.gcode,0.9997901175500798,1.0,9.598191922982327e-06,0.0,0.0,0.0,12.014521,0.0
test279.gcode,0.9998194128677661,1.0,8.773318583613057e-06,0.0,0.0,0.0,12.014521,0.0
test28.gcode,0.9999999999999599,1.0,0.0,0.0,0.0,0.0,12.014521,0.0
test280.gcode,0.9998506724637773,1.0,7.094242698872739e-06,0.0,0.0,0.0,12.014521,0.0
test281.gcode,0.9998089832347185,1.0,1.0812674134305554e-05,0.0,0.0,0.0,12.014521,0.0
test282.gcode,0.9997903746405993,1.0,8.014878562573347e-06,0.0,0.0,0.0,12.014521,0.0
test283.gcode,0.9998346423321902,1.0,6.91313289676573e-06,0.0,0.0,0.0,12.014521,0.0
test284.gcode,0.9998457978723285,1.0,7.277666887934316e-06,0.0,0.0,0.0,12.014521,0.0
test285.gcode,0.9998180841248887,1.0,9.344934077315479e-06,0.0,0.0,0.0,12.014521,0.0
test286.gcode,0.999799025776161,1.0,8.801560579842709e-06,0.0,0.0,0.0,12.014521,0.0
test287.gcode,0.9998044655168664,1.0,1.1156167009226979e-05,0.0,0.0,0.0,12.014521,0.0
test288.gcode,0.9998200962664889,1.0,8.611062860570674e-06,0.0,0.0,0.0,12.014521,0.0
test289.gcode,0.9998117440463328,1.0,8.903469466693032e-06,0.0,0.0,0.0,12.014521,0.0
